id,tenant_id,unit_uid,reading_def_uid,started_on,ended_on,index,is_array,is_unit_on,value,duration_milliseconds,remote_id,purge,sync,instance_id,remove
3a1f3e54-b8d1-197c-69e1-bf98f1ad16f8,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 04:55:16.815+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f3e6f-6fb7-3d35-3e08-b1603b7260c4,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 05:24:27.542+00,,0,t,f,ILLEGAL S CODE COMMAND,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f3e71-1e6a-25c1-ec33-484c1ea412d7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-05 05:26:17.984+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f865f-ae5e-bfca-0613-371e59b674ee,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-19 04:40:13.563+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f865f-ae96-90b1-3e58-a4e55db81141,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-19 04:40:13.563+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f866a-9751-5b8f-3649-1ac83172157b,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 04:52:08.304+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8675-a423-1ccc-d102-a8e699a26e64,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 05:04:12.7+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f86e7-e12f-f3ae-02cb-7d436ac680d5,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 07:08:59.256+00,,0,t,f,"(Z)+ OVERTRAVEL ( PRE-CHECK )
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8703-0002-3add-0340-fcba9c4912cb,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 07:38:36.649+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f871a-f3f5-965f-c35c-e14aebb50cfc,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-19 08:04:46.429+00,,0,t,f, CHUCK NOT OPEN WHEN SP RUN.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8b90-0648-bfc3-d09c-80c1b605713b,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-20 04:51:05.483+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f8c05-efba-b069-ba68-6222e4a50366,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-20 06:59:52.778+00,,0,t,f,MANUAL REFERENCE POSITION RETURN IS NOT PERFORMED IN FEED HOLD,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f9b02-ea5e-068b-79d9-0e5b2c2b206d,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-02-23 04:50:46.713+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1f9bf2-aa81-d01d-4f56-3ddff8b1eda0,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-02-23 09:12:38.715+00,,0,t,f,(Y)+ OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
